
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.    58.537 9                      
    3.   277.189 8                      
    4.   288.384 10                     
    5.   435.696 9                      
    6.   506.252 14                     
    7.   542.784 11                     
    8.   614.491 10                     
    9.   738.666 17                     
   10.   785.630 11                     
   11.  1003.826 14                     
   12.  1005.689 12                     
   13.  1132.621 20                     
   14.  1150.56 12                      
   15.  1207.69 3                       
   16.  1216.39 16                      
   17.  1216.87 5                       
   18.  1341.59 3                       
   19.  1379.78 6                       
   20.  1380.81 5                       
   21.  1451.000 25                     
   22.  1507.99 7                       
   23.  1515.660 14                     
   24.  1565.770 22                     
   25.  1639.65 3                       
   26.  1685.85 7                       
   27.  1709.57 10                      
   28.  1749.07 4                       
   29.  1787.45 4                       
   30.  1799.92 4                       
   31.  1808.81 4                       
   32.  1830.82 3                       
   33.  1833.20 9                       
   34.  1852.74 3                       
   35.  1877.12 4                       
   36.  1888.755 25                     
   37.  1924.10 18                      
   38.  1981.24 8                       
   39.  1984.09 9                       
   40.  2032.48 10                      
   41.  2045.40 10                      
   42.  2080.48 9                       
   43.  2121.53 6                       
   44.  2133.15 6                       
   45.  2152.08 14                      
   46.  2182.92 4                       
   47.  2200.55 7                       
   48.  2221.662 21                     
   49.  2230.63 11                      
   50.  2275.12 16                      
   51.  2279.82 3                       
   52.  2309.99 4                       
   53.  2324.37 16                      
   54.  2341.68 7                       
   55.  2351.60 8                       
   56.  2364.04 6                       
   57.  2423.05 8                       
   58.  2431.16 7                       
   59.  2450.44 11                      
   60.  2468.91 22                      
   61.  2488.47 8                       
   62.  2529.08 14                      
   63.  2546.0 21                       
   64.  2560.31 13                      
   65.  2569.87 8                       
   66.  2585.49 8                       
   67.  2598.10 9                       
   68.  2607.42 6                       
   69.  2621.48 14                      
   70.  2655.73 12                      
   71.  2686.30 18                      
   72.  2709.77 13                      
   73.  2719.11 6                       
   74.  2733.4 3                        
   75.  2760.82 16                      
   76.  2768.15 14                      
   77.  2771.63 21                      
   78.  2785.71 21                      
   79.  2801.38 12                      
   80.  2810.15 10                      
   81.  2825.74 8                       
   82.  2844.75 11                      
   83.  2867.53 9                       
   84.  2884.74 11                      
   85.  2901.43 10                      
   86.  2919.71 19                      
   87.  2936.32 11                      
   88.  2944.73 10                      
   89.  2963.45 8                       
   90.  2996.61 12                      
   91.  3009.82 17                      
   92.  3022.57 13                      
   93.  3047.36 15                      
   94.  3066.18 20                      
   95.  3076.6 4                        
   96.  3084.96 12                      
   97.  3095.92 11                      
   98.  3114.48 13                      
   99.  3121.04 13                      
  100.  3132.21 15                      
  101.  3141.45 13                      
  102.  3154.92 12                      
  103.  3162.95 12                      
  104.  3185.50 23                      
  105.  3191.07 10                      
  106.  3203.51 10                      
  107.  3216.73 14                      
  108.  3238.88 17                      
  109.  3279.15 12                      
  110.  3283.81 7                       
  111.  3338.4 4                        
  112.  3342.94 17                      
